time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-09-15 09:30:00-04:00,SentimentTrader,e23a56a5ade9464d8784ea044dffc0cf,MSFT,buy,market,fill,1,gtc,0.0,1,stock,208.4199981689453,126.0,0.0
2020-09-17 09:30:00-04:00,SentimentTrader,9640dc85911d4f62b9c5fd59c060bdc6,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,200.0500030517578,126.0,0.0
2020-09-18 09:30:00-04:00,SentimentTrader,44256931cbc74aa58042762a6a56ed6a,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-18 09:30:00-04:00,SentimentTrader,9c56e9219b29420cac31d68114d8b89f,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-09-18 09:30:00-04:00,SentimentTrader,44256931cbc74aa58042762a6a56ed6a,MSFT,buy,market,fill,1,gtc,0.0,1,stock,202.8000030517578,128.0,0.0
2020-09-19 09:30:00-04:00,SentimentTrader,9c56e9219b29420cac31d68114d8b89f,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,197.54049407958985,128.0,0.0
2020-09-21 09:30:00-04:00,SentimentTrader,b3b78e0adf3b49d3934a699a38c7d7db,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-21 09:30:00-04:00,SentimentTrader,de2fbd23878442f881dccc2d2112efe0,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-09-21 09:30:00-04:00,SentimentTrader,b3b78e0adf3b49d3934a699a38c7d7db,MSFT,buy,market,fill,1,gtc,0.0,1,stock,197.19000244140625,131.0,0.0
2020-09-23 09:30:00-04:00,SentimentTrader,de2fbd23878442f881dccc2d2112efe0,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,201.85700592041016,131.0,0.0
2020-09-29 09:30:00-04:00,SentimentTrader,cadca2e0aa1c4925a5810d89ba41d3f8,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-29 09:30:00-04:00,SentimentTrader,ca35f1fe44ac4fd4adae7ac56ada433d,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-09-29 09:30:00-04:00,SentimentTrader,cadca2e0aa1c4925a5810d89ba41d3f8,MSFT,buy,market,fill,1,gtc,0.0,1,stock,209.35000610351562,124.0,0.0
